"LokNr"	"sone"	"EastUTM_33N_WGS84"	"NorthUTM_33N_WGS84"	"Longitude_WGS84"	"Latitude_WGS84"
"13807"	"1"	49040,3483757349	6456136,61721778	7,35720000185252	58,0166670001367
"34377"	"1"	90126,8235517275	6457169,86389464	8,04556700090788	58,0656500000618
"12829"	"1"	78721,7423908497	6457218,91015639	7,85366700111456	58,0554170000776
"13951"	"1"	47716,9411847887	6457617,33166243	7,33216400190065	58,0285050001404
"29657"	"1"	73841,2889616043	6457722,45393396	7,77071700121639	58,0552500000855
"12830"	"1"	79184,5197625239	6458280,5273383	7,85955000110832	58,065317000077
"24195"	"1"	83212,3563870757	6458473,88931417	7,92695300103194	58,0708390000711
"21315"	"1"	79955,2655732992	6458697,96011095	7,87176700109434	58,0697670000759
"13806"	"1"	47233,7717130652	6458968,73866844	7,32146300192226	58,0400430001418
"30657"	"1"	29700,5113768887	6459243,91439681	7,0268000025615	58,024300000195
"23676"	"1"	20971,5659027193	6459917,7767675	6,87913300294824	58,0209830002277
"10583"	"1"	28408,3818982799	6460045,56883456	7,0035362226202	58,0300630001997
"10585"	"1"	88306,5162812927	6460155,40807475	8,00971700094526	58,0905830000643
"14975"	"1"	95274,5777539749	6460616,29920085	8,1262520008332	58,1011050000559
"17305"	"1"	30635,7463154822	6461386,87463224	7,03821700253635	58,0443500001923
"10584"	"1"	36928,1427635732	6461901,77037153	7,14278600229361	58,0555300001719
"29957"	"1"	32581,0921591325	6462447,30984761	7,06875000246432	58,055833000186
"11844"	"1"	33278,1945646525	6462730,93872342	7,07988714243842	58,0590888401838
"13217"	"1"	22657,5072926481	6463276,87023514	6,90059039289392	58,052664930222
"11848"	"1"	23673,973283772	6463387,40274257	6,9174174028484	58,0547382202181
"11842"	"1"	37179,5977519935	6463590,28440462	7,14368788229351	58,0708157401715
"21179"	"1"	36536,7003994603	6463738,82338602	7,13260000231847	58,0714670001735
"11843"	"1"	36298,7759902909	6463870,25079615	7,12834585232823	58,0723880201743
