loknr,navn,status lokalitet,klareringsdato,klareringstype,kapasitet_lok,kapasitet enhet,plassering,vannmiljo,fylke,kommunenr,kommune,breddegrader,lengdegrader,arter,innehaver,akvakulturregister (intern),tillatelser,formål,produksjonsform,objectid,lokalitet,symbol,shape,x,y
10029,TUHOLMANE Ø,KLARERT,"juni 19, 1998",PERMANENT,2340,TN,SJØ,SALTVANN,ROGALAND,1149,KARMØY,59.371233,5.216333,"Laks, Regnbueørret, Ørret","LINGALAKS AS, TOMBRE FJORDFARM AS, VARDE FISKEOPPDRETT AS",https://sikker.fiskeridir.no/aquareg/web/sites/10029,"H-B-0003, R-K-0005, R-K-0004, H-B-0008, R-K-0007",COMMERCIAL,Matfisk,208404,10029 TUHOLMANE Ø,"Matfisk laks, ørret, regnbueørret",,5.21633300000002,59.37123300000002
10037,GILJEHOLMEN,KLARERT,"november 22, 1999",PERMANENT,209,TN,SJØ,SALTVANN,VESTLAND,4626,ØYGARDEN,60.339883,4.96755,Kamskjell,SEKKINGSTAD PRESERVING AS,https://sikker.fiskeridir.no/aquareg/web/sites/10037,H-F-0318,COMMERCIAL,Akvakulturdyr til konsum,208405,10037 GILJEHOLMEN,"Bløtdyr, krepsdyr, pigghuder",,4.967550000000017,60.339882999999986
10040,SØRVIK,KLARERT,"januar 19, 1995",PERMANENT,65,TN,SJØ,SALTVANN,VESTLAND,4615,FITJAR,59.88065,5.102933,Torsk,OSKAR SØRVIK JR,https://sikker.fiskeridir.no/aquareg/web/sites/10040,H-FJ-0017,CENSUS,Matfisk,208406,10040 SØRVIK,Andre,,5.102933000000007,59.88065
10041,KVIKSHOLMEN,KLARERT,"desember 2, 1997",PERMANENT,2340,TN,SJØ,SALTVANN,VESTLAND,4625,AUSTEVOLL,60.054317,5.090733,"Laks, Regnbueørret, Ørret",LANGØYLAKS AS,https://sikker.fiskeridir.no/aquareg/web/sites/10041,"H-AV-0029, H-AV-0023",COMMERCIAL,Matfisk,208407,10041 KVIKSHOLMEN,"Matfisk laks, ørret, regnbueørret",,5.090733,60.054317000000026
10044,GODDOSEN,KLARERT,"oktober 28, 1993",PERMANENT,65,TN,SJØ,SALTVANN,VESTLAND,4613,BØMLO,59.862167,5.13615,Torsk,TORGET  KNUT ARNE,https://sikker.fiskeridir.no/aquareg/web/sites/10044,H-B-0028,CENSUS,Matfisk,208408,10044 GODDOSEN,Andre,,5.1361499999999864,59.862167
10045,EIDHOLMEN,KLARERT,"desember 2, 1997",PERMANENT,780,TN,SJØ,SALTVANN,VESTLAND,4625,AUSTEVOLL,60.088083,5.120633,"Laks, Regnbueørret, Ørret","LANGØYLAKS AS, TELAVÅG FISKEOPPDRETT AS, TROLAND LAKSEOPPDRETT AS",https://sikker.fiskeridir.no/aquareg/web/sites/10045,"H-AV-0029, H-S-0023, H-AV-0025, H-AV-0023, H-S-0006",COMMERCIAL,Matfisk,208409,10045 EIDHOLMEN,"Matfisk laks, ørret, regnbueørret",,5.120632999999998,60.08808299999998
10050,OSPØY Ø,KLARERT,"august 4, 1998",PERMANENT,1560,TN,SJØ,SALTVANN,VESTLAND,4613,BØMLO,59.866567,5.228133,"Laks, Regnbueørret, Ørret","ALLER AQUA NORWAY AS, FYLKESNES FISK AS",https://sikker.fiskeridir.no/aquareg/web/sites/10050,"H-FJ-0005, H-B-0009, H-B-0046, H-B-0021","COMMERCIAL, RESEARCH",Matfisk,208410,10050 OSPØY Ø,"Matfisk laks, ørret, regnbueørret",,5.228133000000014,59.866566999999975
10052,KLUBBEOSEN I,KLARERT,"august 10, 1992",PERMANENT,7,DA,SJØ,SALTVANN,VESTLAND,4613,BØMLO,59.831133,5.249333,Østers,AGA MUSLING EIVIND BERGTUN & SIGURD MONSVIK,https://sikker.fiskeridir.no/aquareg/web/sites/10052,H-B-0357,COMMERCIAL,Akvakulturdyr til konsum,208411,10052 KLUBBEOSEN I,"Bløtdyr, krepsdyr, pigghuder",,5.249332999999979,59.83113300000002
10054,TOBBEHOLMANE,KLARERT,"januar 1, 2002",PERMANENT,3120,TN,SJØ,SALTVANN,VESTLAND,4625,AUSTEVOLL,60.024317,5.30815,"Laks, Regnbueørret, Ørret","LERØY VEST AS, SJØTROLL HAVBRUK AS",https://sikker.fiskeridir.no/aquareg/web/sites/10054,"H-O-0010, H-O-0002, H-AV-0011, H-AV-0021, H-AV-0024, H-AV-0014, H-AV-0020, H-AV-0040",COMMERCIAL,Matfisk,208412,10054 TOBBEHOLMANE,"Matfisk laks, ørret, regnbueørret",,5.308150000000012,60.024316999999996
10060,FJON,KLARERT,"oktober 12, 1999",PERMANENT,20000000,STK,LAND,FERSKVANN,VESTLAND,4612,SVEIO,59.51161,5.445748,"Laks, Regnbueørret, Ørret",FJON BRUK AS,https://sikker.fiskeridir.no/aquareg/web/sites/10060,H-SO-0003,COMMERCIAL,Settefisk,208413,10060 FJON,"Settefisk laks, ørret, regnbueørret",,5.4457479999999805,59.51161000000002
